"hunt_code","species","hunt_name","hunt_type","weapon","sex_type","permits_total","hunters","harvest","percent_success","avg_days","satisfaction","year","prediction_year","source_file"
"EA1153","Elk","Old Woman Plateau","CWMU Antlerless","Any Legal Weapon","Female Only","4","4.0","4.0","100.0","3.0","4.5","2025","2026","harvest_2025.csv"
"EA1153","Elk","","","","","4","3.0","1.0","21.0","33.3","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1156","Elk","Preston Nutter Ranch","CWMU Antlerless","Any Legal Weapon","Female Only","20","20.0","16.0","80.0","2.1","5.0","2025","2026","harvest_2025.csv"
"EA1157","Elk","","","","","32","2.7","21.0","1.0","66.7","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1157","Elk","Redd Ranches","CWMU Antlerless","Any Legal Weapon","Female Only","34","31.0","19.0","61.3","2.5","4.2","2025","2026","harvest_2025.csv"
"EA1158","Elk","Riverview Ranch LLC","CWMU Antlerless","Any Legal Weapon","Female Only","9","8.0","2.0","25.0","4.7","4.0","2025","2026","harvest_2025.csv"
"EA1159","Elk","Roan Cliffs","CWMU Antlerless","Any Legal Weapon","Female Only","6","6.0","6.0","100.0","1.5","5.0","2025","2026","harvest_2025.csv"
"EA1159","Elk","","","","","5","2.8","1.0","94.0","25.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1160","Elk","Sand Creek","CWMU Antlerless","Any Legal Weapon","Female Only","4","4.0","3.0","75.0","1.8","4.8","2025","2026","harvest_2025.csv"
"EA1161","Elk","Scofield Canyons","CWMU Antlerless","Any Legal Weapon","Female Only","9","8.0","8.0","100.0","2.0","4.7","2025","2026","harvest_2025.csv"
"EA1162","Elk","Scofield East","CWMU Antlerless","Any Legal Weapon","Female Only","14","13.0","9.0","69.2","1.9","4.6","2025","2026","harvest_2025.csv"
"EA1163","Elk","Scofield West","CWMU Antlerless","Any Legal Weapon","Female Only","32","31.0","23.0","74.2","3.0","4.1","2025","2026","harvest_2025.csv"
"EA1163","Elk","","","","","22","3.3","13.0","3.0","57.9","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1164","Elk","SJ Ranch","CWMU Antlerless","Any Legal Weapon","Female Only","6","6.0","5.0","83.3","3.3","5.0","2025","2026","harvest_2025.csv"
"EA1164","Elk","","","","","6","3.2","2.0","4.0","33.3","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1165","Elk","Skull Crack","CWMU Antlerless","Any Legal Weapon","Female Only","14","14.0","13.0","92.9","1.1","5.0","2025","2026","harvest_2025.csv"
"EA1166","Elk","","","","","15","2.5","5.0","3.0","30.8","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1166","Elk","Soldier Summit","CWMU Antlerless","Any Legal Weapon","Female Only","16","15.0","7.0","46.7","2.4","3.9","2025","2026","harvest_2025.csv"
"EA1167","Elk","South Canyon","CWMU Antlerless","Any Legal Weapon","Female Only","12","10.0","8.0","80.0","1.9","4.1","2025","2026","harvest_2025.csv"
