hunt_code,hunt_name,raw_hunt_name,reported_draw_year,model_target_year,source_file,source_sha256,page_number,resident_eligible_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,nonresident_eligible_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,total_public_permits,source_classification
BR7106,Nebo,Nebo - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,35,348,4,4,8,0,0,0,0,8,TRUE_BEAR_BONUS_DRAW
BR7108,La Sal,La Sal - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,36,238,13,12,25,25,1,1,2,27,TRUE_BEAR_BONUS_DRAW
BR7109,Mt Dutton,Mt Dutton - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,37,37,2,1,3,0,0,0,0,3,TRUE_BEAR_BONUS_DRAW
BR7110,Nine Mile,Nine Mile - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,38,125,9,9,18,2,1,1,2,20,TRUE_BEAR_BONUS_DRAW
BR7111,"North Slope, Three Corners/west Daggett","North Slope, Three Corners/west Daggett - Any Legal Weapon",2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,39,27,0,1,1,0,0,0,0,1,TRUE_BEAR_BONUS_DRAW
BR7112,Panguitch Lake/zion,Panguitch Lake/zion - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,40,59,3,2,5,0,0,0,0,5,TRUE_BEAR_BONUS_DRAW
BR7113,Paunsaugunt,Paunsaugunt - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,41,22,2,1,3,0,0,0,0,3,TRUE_BEAR_BONUS_DRAW
BR7114,Boulder/kaiparowits,Boulder/kaiparowits - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,42,123,7,6,13,5,0,1,1,14,TRUE_BEAR_BONUS_DRAW
BR7115,Fishlake/thousand Lakes,Fishlake/thousand Lakes - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,43,131,4,3,7,0,0,0,0,7,TRUE_BEAR_BONUS_DRAW
BR7116,San Juan,San Juan - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,44,262,11,11,22,20,1,1,2,24,TRUE_BEAR_BONUS_DRAW
BR7117,Diamond Mtn/vernal/bonanza,Diamond Mtn/vernal/bonanza - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,45,127,3,2,5,0,0,0,0,5,TRUE_BEAR_BONUS_DRAW
BR7118,Yellowstone,Yellowstone - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,46,75,3,2,5,0,0,0,0,5,TRUE_BEAR_BONUS_DRAW
BR7119,"Wasatch Mtns, Avintaquin/currant Creek","Wasatch Mtns, Avintaquin/currant Creek - Any Legal Weapon",2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,47,206,3,2,5,0,0,0,0,5,TRUE_BEAR_BONUS_DRAW
