"hunt_code","hunt_name","species","weapon","hunt_type","matched_boundary_name","matched_boundary_id","match_type"
"EB3552","Skull Crack CWMU","Elk","Any Legal Weapon","CWMU","Skull Crack","578","exact_norm_name"
"EB3553","Soldier Summit CWMU","Elk","Any Legal Weapon","CWMU","Soldier Summit","552","exact_norm_name"
"EB3554","South Canyon CWMU","Elk","Any Legal Weapon","CWMU","South Canyon","491","exact_norm_name"
"EB3555","Spring Creek/Dodge CWMU","Elk","Any Legal Weapon","CWMU","Spring Creek/Dodge","546","exact_norm_name"
"EB3557","Strawberry Ridge CWMU","Elk","Any Legal Weapon","CWMU","Strawberry Ridge","562","exact_norm_name"
"EB3558","Summit Point CWMU","Elk","Any Legal Weapon","CWMU","Summit Point","547","exact_norm_name"
"EB3559","Three C CWMU","Elk","Any Legal Weapon","CWMU","Three C","553","exact_norm_name"
"EB3562","Wallsburg CWMU","Elk","Any Legal Weapon","CWMU","Wallsburg","586","exact_norm_name"
"EB3564","Woodruff Creek South CWMU","Elk","Any Legal Weapon","CWMU","Woodruff Creek South","571","exact_norm_name"
"EB3565","North Peaks CWMU","Elk","Any Legal Weapon","CWMU","North Peaks","492","exact_norm_name"
"EB3603","Pahvant Ensign CWMU","Elk","Any Legal Weapon","CWMU","Pahvant Ensign","826","exact_norm_name"
"EB3604","Double R Ranch CWMU","Elk","Any Legal Weapon","CWMU","Double R Ranch","554","exact_norm_name"
"EB3606","Mountain Sky Ranch CWMU","Elk","Any Legal Weapon","CWMU","Mountain Sky Ranch","858","exact_norm_name"
"EB3607","West Willow Creek Ranch CWMU","Elk","Any Legal Weapon","CWMU","West Willow Creek Ranch","805","exact_norm_name"
"EB3608","Avintaquin Canyon CWMU","Elk","Any Legal Weapon","CWMU","Avintaquin Canyon","599","exact_norm_name"
"EB3610","Sharp Mountain CWMU","Elk","Any Legal Weapon","CWMU","Sharp Mountain","490","exact_norm_name"
"EB3611","West Ridge CWMU","Elk","Any Legal Weapon","CWMU","West Ridge","874","exact_norm_name"
"EB3614","Tunnel Hollow CWMU","Elk","Any Legal Weapon","CWMU","Tunnel Hollow","569","exact_norm_name"
"EB3620","The Dirty Dozen","Elk","Any Legal Weapon","CWMU","The Dirty Dozen","923","exact_norm_name"
"MA1009","Causey Spring CWMU","Moose","Any Legal Weapon","CWMU","Causey Spring","560","exact_norm_name"
