hunt_code,in_forecast,in_backtest,in_current_database,forecast_eligible_2026,exclusion_reason,hunt_type,species,hunt_name,permits_2026_res,permits_2026_nr,permits_2026_total
DA1004,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
DA1007,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
DA1009,True,True,True,False,included_forecast,General Season,Deer,"Pine Valley, Enterprise",,,25
DA1011,False,True,True,False,not_OIL_LE_PLE,CWMU,Deer,George Creek CWMU,5,0,5
DA1012,False,True,True,False,not_OIL_LE_PLE,CWMU,Deer,Junction Valley CWMU,15,0,15
DA1013,False,True,True,False,not_OIL_LE_PLE,CWMU,Deer,Mt Carmel CWMU,5,0,5
DA1017,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
DA1018,True,True,True,False,included_forecast,General Season,Deer,"Pine Valley, New Harmony",,,20
DA1026,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
DA1027,True,True,True,False,included_forecast,General Season,Deer,"East Canyon, Davis-North Salt Lake",,,30
DA1028,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
DA1029,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
DA1030,True,True,True,False,included_forecast,General Season,Deer,"Nine Mile, Price River Valley",,,25
DA1031,True,True,True,False,included_forecast,General Season,Deer,"Oquirrh-Stansbury, Settlement Cyn",,,20
DA1033,True,True,True,False,included_forecast,General Season,Deer,"San Juan, Monticello",,,5
DA1039,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
DA1040,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
DA1041,True,True,True,False,included_forecast,General Season,Deer,"Nine Mile, Green River Valley",,,15
DA1042,True,True,True,False,included_forecast,General Season,Deer,"San Juan, Monticello",,,5
DA1043,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
DA1044,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
DA1045,True,True,True,False,included_forecast,General Season,Deer,"Fillmore, Oak City",,,20
DA1046,True,True,True,False,included_forecast,General Season,Deer,"Nine Mile, Price River Valley",,,25
DA1047,True,True,True,False,included_forecast,General Season,Deer,Vernal-Ouray Valley,,,25
DA1048,False,True,True,False,not_OIL_LE_PLE,General Season,Deer,Fillmore City,,,15
DA1049,False,True,True,False,not_OIL_LE_PLE,General Season,Deer,"Vernal, Ashley Valley",,,35
DA1050,False,True,True,False,not_OIL_LE_PLE,CWMU,Deer,The Rose of Snowville CWMU,8,0,8
